id,case_id,created_time,last_modified_time,created_by_id,last_modified_by_id,created_by_name,created_by_role,created_by_team,comment_body,is_published
CMT-9006-01,TCK-9006,2026-07-20T14:00:00Z,2026-07-20T14:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,DKIM signature verification failing. Either the new public key is not published in DNS or the selector in the ESP configuration has not been updated. Checking both.,false
CMT-9006-02,TCK-9006,2026-07-20T16:00:00Z,2026-07-20T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,ESP is still signing with the old selector. New DKIM TXT record is correctly published in DNS but the signing selector in the platform has not been switched over. Customer needs to update the selector in settings.,false
CMT-9007-01,TCK-9007,2026-07-20T14:00:00Z,2026-07-20T14:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,Spam complaint rate is above Yahoo's FBL threshold. Message content and list hygiene are the primary vectors. Reviewing engagement segmentation and suppression list coverage.,false
CMT-9007-02,TCK-9007,2026-07-20T16:00:00Z,2026-07-20T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,A large non-engaged segment (last open >180 days) was included in this campaign. This cohort has high complaint propensity. Recommending hard suppression of >180-day non-openers and adding RFC 8058 one-click unsubscribe.,false
CMT-9008-01,TCK-9008,2026-07-20T14:00:00Z,2026-07-20T14:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,DKIM signature verification failing. Either the new public key is not published in DNS or the selector in the ESP configuration has not been updated. Checking both.,false
CMT-9008-02,TCK-9008,2026-07-20T16:00:00Z,2026-07-20T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,ESP is still signing with the old selector. New DKIM TXT record is correctly published in DNS but the signing selector in the platform has not been switched over. Customer needs to update the selector in settings.,false
CMT-9009-01,TCK-9009,2026-07-20T14:00:00Z,2026-07-20T14:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,Bounce classification confirms 5.1.1 invalid recipient errors. List source needs review — likely stale data from a legacy acquisition. Advising immediate suppression of bounced addresses.,false
CMT-9009-02,TCK-9009,2026-07-20T16:00:00Z,2026-07-20T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Bounce spike traced to a batch of emails from a 2-year-old imported list that was not run through list validation before import. Recommending zero-bounce or NeverBounce validation before any re-engagement send.,false
CMT-8801-01,TCK-8801,2026-06-21T14:00:00Z,2026-06-21T14:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,Postmaster shows domain reputation declined to MEDIUM. Increased send volume preceded the open-rate drop. Escalating to Deliverability Ops to review the deferral pattern on this IP pool.,false
CMT-8801-02,TCK-8801,2026-06-21T16:00:00Z,2026-06-21T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Send cadence spiked before the drop. Recommend smoothing volume and prioritising 30-day engagers. Reducing daily cap by 30% should recover Gmail reputation within 5–7 days.,false
CMT-8801-03,TCK-8801,2026-06-21T11:00:00Z,2026-06-21T11:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,Guidance relayed to customer: reducing daily volume and prioritising engaged subscribers. Will monitor Postmaster trend.,true
CMT-8802-01,TCK-8802,2026-07-06T14:00:00Z,2026-07-06T14:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,Microsoft S3140 indicates IP reputation throttling. Return-Path alignment looks off. Checking if the current IP is shared with another high-volume sender.,false
CMT-8802-02,TCK-8802,2026-07-06T16:00:00Z,2026-07-06T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Confirmed shared IP pool issue. Noisy co-tenant triggered the Microsoft throttle. Migrating account to a dedicated IP; warmup schedule required before full volume resumes.,false
CMT-8802-03,TCK-8802,2026-07-06T11:00:00Z,2026-07-06T11:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,Customer advised: corrected Return-Path alignment guidance sent. Pausing Microsoft segment for 24h while reputation recovers.,true
CMT-8803-01,TCK-8803,2026-06-29T14:00:00Z,2026-06-29T14:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,"SPF has exceeded 10 DNS lookups — PermError confirmed. With DMARC at p=quarantine, receiving servers quarantine unaligned mail. DNS team to identify which includes can be safely flattened.",false
CMT-8803-02,TCK-8803,2026-06-29T16:00:00Z,2026-06-29T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Legacy include (obsolete third-party ESP) and one redundant MX include identified as safe to remove. Flattened SPF record prepared for customer review.,false
CMT-8803-03,TCK-8803,2026-06-29T11:00:00Z,2026-06-29T11:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,Flattened SPF record published by customer. Alignment confirmed via DMARC aggregate report. Mail delivery restored.,true
CMT-8804-01,TCK-8804,2026-07-02T14:00:00Z,2026-07-02T14:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,Postmaster shows domain reputation declined to MEDIUM. Increased send volume preceded the open-rate drop. Escalating to Deliverability Ops to review the deferral pattern on this IP pool.,false
CMT-8804-02,TCK-8804,2026-07-02T16:00:00Z,2026-07-02T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Send cadence spiked before the drop. Recommend smoothing volume and prioritising 30-day engagers. Reducing daily cap by 30% should recover Gmail reputation within 5–7 days.,false
CMT-8804-03,TCK-8804,2026-07-02T11:00:00Z,2026-07-02T11:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,Guidance relayed to customer: reducing daily volume and prioritising engaged subscribers. Will monitor Postmaster trend.,true
CMT-8805-01,TCK-8805,2026-07-09T14:00:00Z,2026-07-09T14:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,Microsoft S3140 indicates IP reputation throttling. Return-Path alignment looks off. Checking if the current IP is shared with another high-volume sender.,false
CMT-8805-02,TCK-8805,2026-07-09T16:00:00Z,2026-07-09T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Confirmed shared IP pool issue. Noisy co-tenant triggered the Microsoft throttle. Migrating account to a dedicated IP; warmup schedule required before full volume resumes.,false
CMT-8805-03,TCK-8805,2026-07-09T11:00:00Z,2026-07-09T11:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,Customer advised: corrected Return-Path alignment guidance sent. Pausing Microsoft segment for 24h while reputation recovers.,true
CMT-8806-01,TCK-8806,2026-07-14T14:00:00Z,2026-07-14T14:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,"SPF has exceeded 10 DNS lookups — PermError confirmed. With DMARC at p=quarantine, receiving servers quarantine unaligned mail. DNS team to identify which includes can be safely flattened.",false
CMT-8806-02,TCK-8806,2026-07-14T16:00:00Z,2026-07-14T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Legacy include (obsolete third-party ESP) and one redundant MX include identified as safe to remove. Flattened SPF record prepared for customer review.,false
CMT-8806-03,TCK-8806,2026-07-14T11:00:00Z,2026-07-14T11:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,Flattened SPF record published by customer. Alignment confirmed via DMARC aggregate report. Mail delivery restored.,true
CMT-8807-01,TCK-8807,2026-07-15T14:00:00Z,2026-07-15T14:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,DKIM signature verification failing. Either the new public key is not published in DNS or the selector in the ESP configuration has not been updated. Checking both.,false
CMT-8807-02,TCK-8807,2026-07-15T16:00:00Z,2026-07-15T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,ESP is still signing with the old selector. New DKIM TXT record is correctly published in DNS but the signing selector in the platform has not been switched over. Customer needs to update the selector in settings.,false
CMT-8807-03,TCK-8807,2026-07-16T11:00:00Z,2026-07-16T11:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,Selector updated. DKIM verification passing. DMARC aggregate report confirms alignment restored.,true
CMT-8808-01,TCK-8808,2026-07-17T14:00:00Z,2026-07-17T14:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,Spam complaint rate is above Yahoo's FBL threshold. Message content and list hygiene are the primary vectors. Reviewing engagement segmentation and suppression list coverage.,false
CMT-8808-02,TCK-8808,2026-07-17T16:00:00Z,2026-07-17T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,A large non-engaged segment (last open >180 days) was included in this campaign. This cohort has high complaint propensity. Recommending hard suppression of >180-day non-openers and adding RFC 8058 one-click unsubscribe.,false
CMT-8808-03,TCK-8808,2026-07-17T11:00:00Z,2026-07-17T11:00:00Z,USR-CONS,USR-CONS,Sarah J.,Support Consultant,GSS Support,One-click unsubscribe added. Non-opener suppression implemented. Complaint rate back below threshold.,true
CMT-8809-01,TCK-8809,2026-07-18T14:00:00Z,2026-07-18T14:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,Reputation dip mid-warmup. Volume ramp may be slightly aggressive for the audience mix available. Checking engagement rates by cohort on the warmup schedule.,false
CMT-8809-02,TCK-8809,2026-07-18T16:00:00Z,2026-07-18T16:00:00Z,USR-ENG,USR-ENG,Engineering Ops,Platform Engineer,Support Engineering,Week-3 volume exceeded recommended ceiling for this domain's engagement ratio. Recommend restarting warmup from week 2 with engagers-only cohort and slowing ramp by 15% per day.,false
CMT-8809-03,TCK-8809,2026-07-18T11:00:00Z,2026-07-18T11:00:00Z,USR-CONS,USR-CONS,Dave K.,Support Consultant,GSS Support,Warmup restarted with revised schedule. Gmail reputation trending upward on Postmaster.,true
CMT-9010-01,TCK-9010,2026-07-20T11:00:00Z,2026-07-20T14:10:00Z,USR-CONS,USR-CONS,Bryant Gregory,Email Deliverability Consultant,Global Email Deliverability,A dormant-card notification cohort generated a complaint spike and Microsoft began returning reputation-based 550 and 421 responses for the affected sending IP. Critical investigation opened; split the impacted cohort and pause the unengaged notification segment pending a Microsoft recovery plan.,false
CMT-9011-01,TCK-9011,2026-07-20T11:00:00Z,2026-07-20T14:10:00Z,USR-CONS,USR-CONS,Esther Davis,Email Deliverability Consultant,Global Email Deliverability,The migrated booking subdomain retained an aligned policy but the rua destination authorization was not published for the new reporting domain. Low-risk configuration correction in progress; publish the destination authorization and confirm aggregate report receipt.,false
CMT-9012-01,TCK-9012,2026-07-20T11:00:00Z,2026-07-20T14:10:00Z,USR-CONS,USR-CONS,Song Soon Yang,Email Deliverability Consultant,Global Email Deliverability,"A higher weekly frequency to low-engagement sports-offer subscribers increased Yahoo and AOL complaint and spam-folder signals. Resolved by restoring engagement-based segmentation, adding frequency caps, and suppressing persistently inactive recipients.",false
CMT-9013-01,TCK-9013,2026-07-20T11:00:00Z,2026-07-20T14:10:00Z,USR-CONS,USR-CONS,Tamara Wulf,Email Deliverability Consultant,Global Email Deliverability,Apple recipient mailboxes were over quota at a higher rate within an older inactive membership cohort; sending infrastructure is healthy. Monitoring retry behaviour and recommending suppression of persistently over-quota recipients after the configured retry window.,false
CMT-9014-01,TCK-9014,2026-07-20T11:00:00Z,2026-07-21T14:10:00Z,USR-CONS,USR-CONS,Alexandre Zibrick,Email Deliverability Consultant,Global Email Deliverability,"The campaign expanded to a long-inactive audience and elevated Gmail policy and reputation responses; SPF, DKIM, and DMARC remain aligned. Recovery plan in progress: pause the inactive segment, resume with recent purchasers, and ramp under an engagement-based Gmail cap.",false
